Date, AMZN ,ARKK,JNJ,NVDA,TSLA,XOM
4/11/2022," 3,022.44 ",59.84,179.839996,219.169998,975.929993,83.849998
4/12/2022," 3,015.75 ",59.84,179.899994,215.039993,986.950012,85.599998
4/13/2022," 3,110.82 ",61.73,180.660004,222.029999,1022.369995,86.809998
4/14/2022," 3,034.13 ",58.990002,179.899994,212.580002,985,87.830002
4/18/2022," 3,055.70 ",57.349998,177.660004,217.830002,1004.289978,88.550003
4/19/2022," 3,162.31 ",59.669998,183.080002,221.979996,1028.150024,87.760002
4/20/2022," 3,079.96 ",56.130001,183.889999,214.820007,977.200012,87.959999
4/21/2022," 2,965.92 ",53.34,183.360001,201.830002,1008.780029,87.029999
4/22/2022," 2,887.00 ",52.459999,181.539993,195.149994,1005.049988,85.129997
4/25/2022," 2,921.48 ",54.349998,186.009995,199.020004,998.02002,82.260002
4/26/2022," 2,787.82 ",50.68,184.679993,187.880005,876.419983,82.290001
4/27/2022," 2,763.34 ",49.560001,182.100006,184.149994,881.51001,84.639999
4/28/2022," 2,891.93 ",48.869999,183.460007,197.820007,877.51001,87.199997
4/29/2022," 2,485.63 ",47.130001,180.460007,185.470001,870.76001,85.25
5/2/2022," 2,490.00 ",50.130001,178.639999,195.330002,902.940002,86.410004
5/3/2022," 2,485.07 ",49.869999,178.289993,196.020004,909.25,88.190002
5/4/2022," 2,518.57 ",52.43,180.199997,203.339996,952.619995,91.699997
5/5/2022," 2,328.14 ",47.75,176.759995,188.440002,873.280029,90.309998
5/6/2022," 2,295.45 ",45.630001,176.369995,186.75,865.650024,91.690002
5/9/2022," 2,175.78 ",41.130001,177.330002,169.5,787.109985,84.459999
5/10/2022," 2,177.18 ",41.080002,177.089996,175.949997,800.039978,85.019997
5/11/2022," 2,107.44 ",36.93,176.130005,166.300003,734,86.790001
5/12/2022," 2,138.61 ",38.990002,177.869995,161.75,728,86.300003
5/13/2022," 2,261.10 ",43.599998,176.850006,177.059998,769.590027,88.860001
5/16/2022," 2,216.21 ",41.02,178.080002,172.639999,724.369995,90.949997
5/17/2022," 2,307.37 ",43.080002,178.820007,181.770004,761.609985,92.110001
5/18/2022," 2,142.25 ",41.169998,175.5,169.380005,709.809998,90.650002
5/19/2022," 2,146.38 ",43.029999,173.940002,171.240005,709.419983,91.139999
5/20/2022," 2,151.82 ",42.41,176.979996,166.940002,663.900024,91.860001
5/23/2022," 2,151.14 ",42.139999,179.440002,168.979996,674.900024,93.889999
5/24/2022," 2,082.00 ",39.209999,181.399994,161.539993,628.159973,94.400002
5/25/2022," 2,135.50 ",41.029999,179.619995,169.75,658.799988,96.300003
5/26/2022," 2,221.55 ",42.630001,179.460007,178.509995,707.72998,96.639999
5/27/2022," 2,302.93 ",45.41,181.089996,188.110001,759.630005,97.589996
5/31/2022," 2,404.19 ",44.09,179.529999,186.720001,758.26001,96
6/1/2022," 2,433.68 ",42.5,177.710007,183.199997,740.369995,97.839996
